date_revenue;merchandise;wire;delivery
01/02/2019;917.4;0;104.93
01/03/2019;300.85;0;59.96
01/04/2019;594.8;0;74.95
01/05/2019;505.74;0;84.95
01/06/2019;129.9;0;29.98
01/07/2019;575.19;0;104.93
01/08/2019;334.9;0;59.96
01/09/2019;305.85;0;44.97
01/10/2019;1057.78;0;169.89
01/11/2019;546.05;0;109.93
01/12/2019;184.95;0;39.98
01/13/2019;170.95;0;29.98
01/14/2019;919.82;0;104.93
01/15/2019;661.73;0;119.92
01/16/2019;735.55;0;119.92
01/17/2019;780.64;0;119.92
01/18/2019;1259.65;0;74.95
01/19/2019;301.9;0;54.97
01/20/2019;84.95;0;14.99
01/21/2019;648.85;0;119.92
01/22/2019;955.79;0;119.92
01/23/2019;1069.64;0;104.93
01/24/2019;949.73;0;194.87
01/25/2019;815.84;0;89.94
01/26/2019;589.75;0;129.92
01/27/2019;104.95;0;29.98
01/28/2019;796.1;0;134.91
01/29/2019;530.25;0;104.94
01/30/2019;1371.23;0;89.94
01/31/2019;1455.33;0;149.9
02/01/2019;1334.18;0;154.9
02/02/2019;425.85;0;74.96
02/03/2019;209.9;0;44.97
02/04/2019;676.35;0;119.92
02/05/2019;1020.85;0;119.92
02/06/2019;1790.25;0;224.85
02/07/2019;1085.91;0;164.89
02/08/2019;1860.06;0;239.84
02/09/2019;1360;0;159.9
02/10/2019;450.8;0;59.96
02/11/2019;5056.45;0;599.56
02/12/2019;7086.14;0;844.44
02/13/2019;5222.55;0;599.6
02/14/2019;3584;0;89.94
02/15/2019;1430.5;0;199.87
02/16/2019;947.8;0;69.96
02/17/2019;40;0;14.99
02/18/2019;1373.62;0;164.89
02/19/2019;1166.25;0;134.91
02/20/2019;1375.35;0;194.87
02/21/2019;999.32;0;149.9
02/22/2019;1099.8;0;74.95
02/23/2019;416.8;0;69.96
02/24/2019;40;0;14.99
02/25/2019;1353.93;0;209.86
02/26/2019;879.65;0;89.94
02/27/2019;1110.8;0;119.92
02/28/2019;545.05;0;94.94
03/01/2019;839.02;0;164.89
03/02/2019;433.85;0;99.94
03/03/2019;1114.75;0;89.94
03/04/2019;1479;0;194.87
03/05/2019;1311.24;0;134.91
03/06/2019;1371.4;0;184.88
03/07/2019;1039.69;0;134.91
03/08/2019;814.95;0;89.94
03/09/2019;519.8;0;59.96
03/11/2019;788.87;0;114.93
03/12/2019;764.79;0;104.93
03/13/2019;1352.32;0;164.89
03/14/2019;584.8;0;89.94
03/15/2019;659.85;0;59.96
03/16/2019;473.18;0;54.97
03/17/2019;40;0;14.99
03/18/2019;819.14;0;134.91
03/19/2019;734.85;0;149.9
03/20/2019;1287.31;0;224.81
03/21/2019;869.71;0;144.91
03/22/2019;1639.85;0;134.91
03/23/2019;327.79;0;69.96
03/24/2019;370.8;0;59.96
03/25/2019;1398.28;0;134.91
03/26/2019;1323.27;0;104.93
03/27/2019;1611.73;0;134.91
03/28/2019;1523.42;0;104.9
03/29/2019;1510.75;0;134.91
03/30/2019;697.8;0;104.94
03/31/2019;40;0;14.99
