date_revenue;merchandise;wire;delivery
06/25/2019;958.85;0;89.94
06/26/2019;742.63;0;74.95
06/27/2019;1939.15;0;124.95
06/28/2019;412.77;0;54.92
06/29/2019;409.85;0;59.96
06/30/2019;45.41;0;5.99
07/01/2019;575.05;0;89.94
07/02/2019;144.95;0;29.98
07/03/2019;1178.06;0;124.93
07/05/2019;575.36;0;95.95
07/06/2019;550;0;14.99
07/07/2019;49.95;0;14.99
07/08/2019;586.71;0;104.93
07/09/2019;366.98;0;59.96
07/10/2019;1080.32;0;104.93
07/11/2019;838.8;0;119.82
07/12/2019;847.19;0;99.89
07/13/2019;343.79;0;29.98
07/15/2019;795.77;0;104.93
07/16/2019;914.7;0;80.96
07/17/2019;1195.06;0;89.94
07/18/2019;1223.79;0;136.87
07/19/2019;840.69;0;89.94
07/20/2019;652.38;0;44.97
07/22/2019;1698.01;0;214.86
07/23/2019;642.77;0;90.95
07/24/2019;654.69;0;89.94
07/25/2019;1080.97;0;109.93
07/26/2019;1307.78;0;219.84
07/27/2019;764.84;0;119.93
07/29/2019;540.83;0;84.9
07/30/2019;816.8;0;104.93
07/31/2019;602.18;0;90.94
08/01/2019;2685.85;0;296.83
08/02/2019;1098.55;0;98.94
08/03/2019;444.37;0;50.97
08/05/2019;584.69;0;97.94
08/06/2019;1633.05;0;180.89
08/07/2019;515.9;0;60.96
08/08/2019;921.62;0;125.92
08/09/2019;1217.17;0;209.92
08/10/2019;535.05;0;63.96
08/12/2019;970.88;0;138.93
08/13/2019;1153.35;0;134.88
08/14/2019;1371.07;0;159.92
08/15/2019;1492.69;0;162.9
08/16/2019;2089.6;0;154.96
08/17/2019;609.1;0;50.97
08/19/2019;1169.75;0;179.85
08/20/2019;1439.94;0;215.9
08/21/2019;591.85;0;31.98
08/22/2019;1089.79;0;175.91
08/23/2019;909.83;0;111.94
08/24/2019;445.25;0;61.97
08/25/2019;139.9;0;31.98
08/26/2019;1047.32;0;144.92
08/27/2019;746.35;0;92.9
08/28/2019;1474.98;0;95.95
08/29/2019;950.69;0;175.89
08/30/2019;283.92;0;35.98
08/31/2019;380.31;0;57.96
09/02/2019;79.95;0;14.99
09/04/2019;339.84;0;62.96
09/05/2019;3381.5;0;152.94
09/06/2019;1484.74;0;133.9
09/07/2019;539.84;0;79.95
09/08/2019;89.95;0;15.99
09/09/2019;2348.21;0;191.91
09/10/2019;745.73;0;94.94
09/11/2019;769.7;0;127.91
09/12/2019;679.85;0;94.9
09/13/2019;2095.27;0;125.93
09/14/2019;376.95;0;62.96
09/15/2019;369.85;0;65.97
09/16/2019;876.73;0;110.93
09/17/2019;1860.8;0;82.95
09/18/2019;1780.05;0;123.94
09/19/2019;1661.01;0;114.89
09/20/2019;1022.64;0;114.94
09/21/2019;659.9;0;82.95
09/23/2019;838.68;0;125.92
09/24/2019;1201.7;0;126.93
09/25/2019;2499.69;0;151.94
09/26/2019;1654.75;0;239.88
09/27/2019;796.7;0;166.92
09/28/2019;320.94;0;51.97
09/29/2019;127.5;0;15.99
09/30/2019;1005.06;0;133.93
10/01/2019;1579.45;0;162.87
10/02/2019;1047.6;0;157.87
10/03/2019;1355.64;0;221.8
10/04/2019;1914.62;0;172.91
