date_revenue;merchandise;wire;delivery
01/02/2019;1921.11;0;194.88
01/03/2019;1729.29;0;164.85
01/04/2019;1296.85;0;74.95
01/05/2019;335;0;14.99
01/06/2019;80;0;14.99
01/07/2019;1072.78;0;134.92
01/08/2019;818.85;0;119.92
01/09/2019;2329.85;0;129.88
01/10/2019;1271.32;0;169.86
01/11/2019;2997.5;0;259.8
01/12/2019;682;0;29.98
01/13/2019;44.95;0;14.99
01/14/2019;646.89;0;84.95
01/15/2019;1522.9;0;119.88
01/16/2019;882.9;0;89.94
01/17/2019;972.32;0;86.95
01/18/2019;1750.35;0;249.85
01/19/2019;236.2;0;29.98
01/20/2019;174.95;0;44.94
01/21/2019;844.8;0;119.92
01/22/2019;768.56;0;134.91
01/23/2019;3317.74;0;234.85
01/24/2019;1203.9;0;114.93
01/25/2019;1189.85;0;186.89
01/26/2019;345.91;0;54.97
01/27/2019;369.8;0;64.96
01/28/2019;918.71;0;124.92
01/29/2019;1051.7;0;164.86
01/30/2019;1349.66;0;134.91
01/31/2019;1070.9;0;59.96
02/01/2019;1613.25;0;164.8
02/02/2019;390.19;0;29.98
02/03/2019;269.9;0;44.97
02/04/2019;867.16;0;149.91
02/05/2019;1602.21;0;256.84
02/06/2019;585.75;0;74.91
02/07/2019;2358.22;0;224.85
02/08/2019;1845.6;0;264.8
02/09/2019;1971.85;0;209.86
02/10/2019;793.78;0;74.91
02/11/2019;4530.88;0;579.52
02/12/2019;6486.99;0;609.57
02/13/2019;10542.03;0;1189.01
02/14/2019;7414.72;0;214.82
02/15/2019;1565.25;0;184.88
02/16/2019;459.9;0;34.98
02/17/2019;80;0;14.99
02/18/2019;604.9;0;59.96
02/19/2019;510.94;0;74.95
02/20/2019;1360.28;0;179.91
02/21/2019;874.75;0;109.94
02/22/2019;537.95;0;79.95
02/23/2019;685;0;99.94
02/25/2019;1009.84;0;119.92
02/26/2019;1286.68;0;169.9
02/27/2019;578.2;0;104.93
02/28/2019;1479.74;0;234.85
03/01/2019;1463.09;0;199.87
03/02/2019;403.47;0;49.98
03/03/2019;139.95;0;29.98
03/04/2019;1771.01;0;273.75
03/05/2019;993.93;0;94.95
03/06/2019;1208.54;0;189.88
03/07/2019;1096.37;0;124.92
03/08/2019;1257.84;0;164.9
03/09/2019;394.95;0;79.95
03/10/2019;354.9;0;44.93
03/11/2019;1474.76;0;134.91
03/12/2019;783.45;0;134.92
03/13/2019;1371.28;0;239.82
03/14/2019;1215.75;0;104.93
03/15/2019;1336.08;0;209.83
03/16/2019;238.98;0;14.99
03/17/2019;234.9;0;44.97
03/18/2019;844.74;0;154.91
03/19/2019;1252.03;0;234.87
03/20/2019;591.85;0;109.89
03/21/2019;935.68;0;106.94
03/22/2019;2123.9;0;194.88
03/23/2019;544.95;0;74.95
03/25/2019;1380.75;0;139.92
03/26/2019;1205.34;0;194.84
03/27/2019;619.9;0;89.94
03/28/2019;1861.14;0;224.87
03/29/2019;797.14;0;119.92
03/30/2019;454.95;0;59.97
03/31/2019;80;0;14.99
04/01/2019;1625.3;0;179.84
04/02/2019;1017.86;0;154.9
04/03/2019;930.87;0;89.94
04/04/2019;1639.63;0;184.88
04/05/2019;2348;0;229.86
04/06/2019;950.97;0;89.94
04/07/2019;99.95;0;14.99
04/08/2019;1043.8;0;159.86
04/09/2019;1124.28;0;149.9
04/10/2019;1114.64;0;139.91
04/11/2019;1328.79;0;149.9
04/12/2019;899.64;0;119.92
04/13/2019;312.95;0;29.98
04/14/2019;80;0;14.99
04/15/2019;2113.87;0;164.89
04/16/2019;1610.68;0;144.91
04/17/2019;1233.9;0;89.94
04/18/2019;2258.3;0;309.82
04/19/2019;2536.75;0;224.85
04/20/2019;3636.9;0;44.97
04/21/2019;84.95;0;14.99
04/22/2019;738.89;0;104.93
04/23/2019;1318.59;0;229.87
04/24/2019;1107.25;0;139.93
04/25/2019;1440.1;0;208.88
04/26/2019;1218.61;0;129.92
04/27/2019;200;0;14.99
04/28/2019;80;0;14.99
04/29/2019;1433.99;0;156.93
04/30/2019;1105.79;0;141.91
05/01/2019;2334.59;0;259.86
05/02/2019;1492.73;0;159.9
05/03/2019;1207.7;0;179.88
05/04/2019;1559.25;0;119.92
05/05/2019;169.89;0;34.98
05/06/2019;1986.39;0;254.84
05/07/2019;3183.23;0;414.76
05/08/2019;3471.41;0;391.79
05/09/2019;3584.8;0;429.72
05/10/2019;6037.37;0;842.47
05/11/2019;4626.68;0;454.71
05/12/2019;2962.03;0;229.85
05/13/2019;729.8;0;59.96
05/14/2019;1333.08;0;179.88
05/15/2019;1266.05;0;129.92
05/16/2019;623.9;0;49.97
05/17/2019;823.01;0;64.96
05/18/2019;490;0;39.98
05/19/2019;134.94;0;29.98
05/20/2019;888.32;0;89.96
05/21/2019;1144.29;0;104.93
05/22/2019;1239.36;0;154.91
05/23/2019;1272.58;0;132.91
05/24/2019;1042.84;0;119.93
05/25/2019;668.39;0;89.94
05/26/2019;389.85;0;29.98
05/27/2019;120.94;0;14.99
05/28/2019;1211.84;0;139.91
05/29/2019;1083.52;0;134.92
05/30/2019;1423.73;0;149.9
05/31/2019;1578.29;0;244.86
06/01/2019;342.4;0;59.96
06/02/2019;239.94;0;29.98
06/03/2019;948.85;0;114.93
06/04/2019;1398.58;0;174.89
06/05/2019;606.21;0;59.96
06/06/2019;2176.51;0;209.87
06/07/2019;836.17;0;74.95
06/08/2019;292;0;0
06/09/2019;229.95;0;29.98
06/10/2019;694.7;0;89.94
06/11/2019;1039.83;0;149.9
06/12/2019;1300.73;0;134.91
06/13/2019;925.02;0;109.93
06/14/2019;889.83;0;89.94
06/15/2019;418.95;0;51.97
06/16/2019;204.84;0;59.97
06/17/2019;740.84;0;89.95
06/18/2019;755.95;0;59.96
06/19/2019;674.3;0;119.92
06/20/2019;1654.82;0;244.85
06/21/2019;1002.69;0;119.92
06/22/2019;150.89;0;24.99
06/23/2019;80;0;14.99
06/24/2019;890.68;0;89.94
06/25/2019;590.41;0;74.95
06/26/2019;1135.44;0;89.94
06/27/2019;1450.84;0;94.95
06/28/2019;720.9;0;104.94
06/29/2019;288.6;0;29.98
07/01/2019;1275.72;0;184.88
07/02/2019;3230.53;0;134.94
07/03/2019;543.53;0;44.97
07/04/2019;179.95;0;14.99
07/05/2019;369.95;0;59.96
07/06/2019;374.99;0;44.97
07/07/2019;146.93;0;29.98
07/08/2019;1083.62;0;134.91
07/09/2019;813.94;0;89.94
07/10/2019;1158.94;0;124.92
07/11/2019;1315.36;0;119.92
07/12/2019;1165.66;0;189.89
07/13/2019;316.95;0;44.97
07/15/2019;970.74;0;134.91
07/16/2019;1155.9;0;204.89
07/17/2019;1098.97;0;89.94
07/18/2019;956.86;0;159.91
07/19/2019;654.8;0;89.94
07/20/2019;639.82;0;89.94
07/21/2019;80;0;14.99
07/22/2019;1127.31;0;179.89
07/23/2019;2235.7;0;209.86
07/24/2019;932.64;0;134.91
07/25/2019;1153.54;0;159.9
07/26/2019;1085.53;0;104.93
07/27/2019;510;0;29.98
07/29/2019;1021.97;0;164.9
07/30/2019;2376.66;0;112.95
07/31/2019;1021.35;0;162.91
08/01/2019;790.91;0;120.93
08/02/2019;1786.73;0;277.86
08/03/2019;251.01;0;0
08/04/2019;80;0;14.99
08/05/2019;621.05;0;111.93
08/06/2019;1644.54;0;190.9
08/07/2019;1213.23;0;140.91
08/08/2019;868.32;0;56.97
08/09/2019;354.9;0;62.97
08/10/2019;371.93;0;59.97
08/11/2019;44.95;0;14.99
08/12/2019;970.81;0;116.93
08/13/2019;1017.87;0;108.94
08/14/2019;822.55;0;135.92
08/15/2019;1070.64;0;127.94
08/16/2019;1385.77;0;131.93
08/17/2019;595.94;0;92.95
08/18/2019;80;0;14.99
08/19/2019;1090.77;0;189.9
08/20/2019;829.78;0;128.92
08/21/2019;662.19;0;106.94
08/22/2019;804.98;0;63.96
08/23/2019;1650.59;0;179.89
08/24/2019;901.8;0;114.93
08/26/2019;1084.84;0;111.93
08/27/2019;2124.84;0;246.92
08/28/2019;1133.32;0;141.93
08/29/2019;1114.85;0;111.93
08/30/2019;209.85;0;56.97
08/31/2019;156.03;0;31.98
09/01/2019;194.95;0;30.98
09/03/2019;129.95;0;15.99
09/04/2019;1530.27;0;219.88
09/05/2019;931.62;0;116.93
09/06/2019;800.75;0;99.93
09/07/2019;921.77;0;46.97
09/08/2019;84.95;0;15.99
09/09/2019;1163.05;0;163.9
09/10/2019;609.8;0;147.91
09/11/2019;531.71;0;88.95
09/12/2019;1012;0;131.92
09/13/2019;958.95;0;95.94
09/14/2019;581;0;0
09/15/2019;453.73;0;82.95
09/16/2019;904.9;0;52.98
09/17/2019;1558.99;0;224.87
09/18/2019;1353.03;0;136.92
09/19/2019;1417.63;0;192.89
09/20/2019;786.9;0;159.9
09/21/2019;185;0;34.98
09/22/2019;45;0;0
09/23/2019;820.69;0;134.93
09/24/2019;1221.87;0;144.91
09/25/2019;1456.38;0;236.86
09/26/2019;835.9;0;99.94
09/27/2019;988.94;0;181.9
09/28/2019;599.39;0;31.98
09/29/2019;631.48;0;88.95
09/30/2019;931.85;0;113.94
10/01/2019;841.58;0;133.93
10/02/2019;807.66;0;159.9
10/03/2019;1266.8;0;200.9
10/04/2019;753.85;0;104.94
10/05/2019;528.94;0;71.96
10/06/2019;275.84;0;55.97
10/07/2019;1806.21;0;188.89
10/08/2019;1134.83;0;191.88
10/09/2019;514.85;0;108.94
10/10/2019;1333.11;0;120.93
10/11/2019;1790.63;0;243.87
10/12/2019;483.75;0;63.96
10/13/2019;485.89;0;15.98
10/14/2019;794.85;0;103.96
10/15/2019;899.85;0;95.94
10/16/2019;1997.34;0;143.91
10/17/2019;2343.14;0;273.85
10/18/2019;1054.82;0;135.92
10/19/2019;519.95;0;50.97
10/20/2019;54.95;0;15.99
10/21/2019;2414.74;0;196.9
10/22/2019;1126.84;0;93.95
10/23/2019;412.94;0;46.98
10/24/2019;1076.26;0;147.91
10/25/2019;2248.56;0;143.91
10/26/2019;377;0;15.99
10/27/2019;304.9;0;60.97
10/28/2019;1196.78;0;115.93
10/29/2019;1700.9;0;200.88
10/30/2019;1202.09;0;223.88
10/31/2019;1944.94;0;165.91
11/01/2019;1417.61;0;167.9
11/02/2019;444.95;0;78.95
11/03/2019;51.93;0;24.99
11/04/2019;1323.99;0;228.87
11/05/2019;643.85;0;99.94
11/06/2019;880.25;0;161.88
11/07/2019;1198.74;0;143.91
11/08/2019;510;0;31.98
11/09/2019;514.95;0;51.97
11/10/2019;80;0;14.99
11/11/2019;3778.6;0;204.88
11/12/2019;2069.24;0;224.88
11/13/2019;2075.82;0;158.91
11/14/2019;1429.69;0;214.88
11/15/2019;3286.56;0;257.85
11/16/2019;1092.25;0;112.94
11/17/2019;49.95;0;15.99
11/18/2019;1474.81;0;177.9
11/19/2019;753.63;0;135.93
11/20/2019;616.92;0;114.94
11/21/2019;834.75;0;104.94
11/22/2019;2858.83;0;183.89
11/23/2019;1184.75;0;145.92
11/24/2019;159.95;0;30.98
11/25/2019;1509.93;0;213.88
11/26/2019;4085.93;0;365.82
11/27/2019;3592.57;0;307.81
11/28/2019;135;0;0
11/29/2019;497.89;0;47.97
11/30/2019;649.46;0;62.96
12/02/2019;839.9;0;71.96
12/03/2019;1218.7;0;159.9
12/04/2019;2037.17;0;275.83
12/05/2019;1091.02;0;148.91
12/06/2019;1474.76;0;157.91
12/07/2019;351.98;0;47.97
12/08/2019;314.9;0;60.97
12/09/2019;1758.15;0;311.81
12/10/2019;2727.93;0;181.9
12/11/2019;604.85;0;76.96
12/12/2019;2609.69;0;240.88
12/13/2019;2776.41;0;174.91
12/14/2019;1089.24;0;175.9
12/15/2019;79.95;0;15.99
12/16/2019;2148.61;0;333.81
12/17/2019;1767.78;0;238.86
12/18/2019;2530.93;0;381.83
12/19/2019;5953.78;0;445.77
12/20/2019;2597.08;0;304.82
12/21/2019;3019.38;0;448.74
12/22/2019;399.89;0;50.97
12/23/2019;5717.12;0;463.73
12/24/2019;1634.74;0;147.91
12/25/2019;40;0;0
12/26/2019;1936.54;0;184.89
12/27/2019;748.73;0;127.92
12/28/2019;1432.17;0;158.92
12/29/2019;89.95;0;15.99
12/30/2019;1414.33;0;131.92
12/31/2019;2484.76;0;184.89
