date_revenue;merchandise;wire;delivery
08/01/2019;543.07;0;76.96
08/02/2019;2103.62;0;57.97
08/03/2019;1067.28;0;73.97
08/05/2019;1422.88;0;147.91
08/06/2019;229.95;0;15.99
08/07/2019;1175;0;122.96
08/08/2019;632.6;0;61.98
08/09/2019;1865.98;0;139.94
08/10/2019;124;0;0
08/12/2019;1283.59;0;173.91
08/13/2019;500;0;31.98
08/14/2019;728.47;0;44.98
08/15/2019;589.6;0;130.97
08/16/2019;565;0;71.98
08/17/2019;800;0;35.99
08/18/2019;54.95;0;14.99
08/19/2019;984.94;0;202.91
08/20/2019;829.1;0;114.94
08/21/2019;1302.65;0;111.93
08/22/2019;1020.84;0;89.96
08/23/2019;528.12;0;59.98
08/24/2019;216.98;0;40.98
08/26/2019;1435.65;0;178.9
08/27/2019;1125.89;0;176.91
08/28/2019;685;0;62.98
08/29/2019;580.93;0;41.98
08/30/2019;95;0;0
08/31/2019;125;0;15.99
09/04/2019;1170;0;123.94
09/05/2019;380;0;35.99
09/06/2019;1610.93;0;199.96
09/07/2019;1353;0;99.94
09/08/2019;215.85;0;35.98
09/09/2019;794.89;0;114.94
09/10/2019;788.99;0;76.97
09/11/2019;1779.95;0;232.88
09/12/2019;1307.96;0;138.93
09/13/2019;1850.94;0;161.93
09/14/2019;450.6;0;67.96
09/16/2019;704.98;0;103.95
09/17/2019;571.97;0;31.98
09/18/2019;954.95;0;104.94
09/19/2019;859.9;0;97.95
09/20/2019;838.95;0;118.95
09/21/2019;119.95;0;25.99
09/23/2019;971.82;0;102.97
09/24/2019;200.89;0;35.98
09/25/2019;1707.49;0;143.94
09/26/2019;952.99;0;92.95
09/27/2019;1949.2;0;141.94
09/28/2019;860;0;66.98
09/29/2019;55.94;0;29.99
09/30/2019;2605.94;0;206.95
10/01/2019;950;0;83.97
10/02/2019;1121.85;0;136.94
10/03/2019;1666.49;0;73.96
10/04/2019;604.98;0;63.96
10/05/2019;349.95;0;35.98
10/07/2019;1704.08;0;97.95
10/08/2019;872.5;0;32.99
10/09/2019;2020;0;164.93
10/10/2019;900;0;77.97
10/11/2019;940;0;103.97
10/12/2019;595.94;0;41.98
10/14/2019;335;0;68.96
10/15/2019;1487.89;0;108.95
10/16/2019;889.95;0;125.93
10/17/2019;764.95;0;121.94
10/18/2019;1586.69;0;154.95
10/19/2019;345;0;0
10/20/2019;64.95;0;15.99
10/21/2019;1970.61;0;170.91
10/22/2019;639;0;95.94
10/23/2019;1240;0;98.94
10/24/2019;872;0;76.96
10/25/2019;1217.5;0;73.96
10/26/2019;739;0;47.97
10/28/2019;2072;0;109.95
10/29/2019;2005.94;0;135.93
10/30/2019;2384.4;0;198.91
10/31/2019;844.6;0;124.94
11/01/2019;1184.99;0;31.98
11/02/2019;2808.34;0;113.96
11/04/2019;2243.95;0;196.91
11/05/2019;1144.4;0;104.99
11/06/2019;1607.95;0;170.9
11/07/2019;1266.49;0;176.92
11/08/2019;5056;0;199.94
11/09/2019;278.6;0;15.99
11/11/2019;600.99;0;71.98
11/12/2019;992.34;0;124.95
11/13/2019;785.23;0;98.96
11/14/2019;1049.47;0;66.96
11/15/2019;2133.84;0;160.93
11/16/2019;478.04;0;31.98
11/18/2019;2795.44;0;135.93
11/19/2019;2222.72;0;132.92
11/20/2019;2584.98;0;99.95
11/21/2019;3441.9;0;124.95
11/22/2019;2628.61;0;103.95
11/23/2019;1500.53;0;156.93
11/25/2019;1564.99;0;246.88
11/26/2019;2469.94;0;177.95
11/27/2019;1320.08;0;141.92
11/29/2019;4045.96;0;218.91
11/30/2019;2375;0;467.92
12/02/2019;4044.99;0;268.91
12/03/2019;2668.44;0;205.89
12/04/2019;3792.49;0;441.89
12/05/2019;2310.7;0;203.92
12/06/2019;3664.27;0;230.93
12/07/2019;1640.19;0;193.89
12/09/2019;1825;0;261.87
12/10/2019;2715.94;0;221.91
12/11/2019;2179.2;0;249.87
12/12/2019;1311.53;0;143.94
12/13/2019;3601.94;0;290.84
12/14/2019;884.95;0;62.96
12/15/2019;44.95;0;15.99
12/16/2019;4228.59;0;312.81
12/17/2019;1826.95;0;99.95
12/18/2019;2324.95;0;286.83
12/19/2019;1761.47;0;269.85
12/20/2019;2785.23;0;224.88
12/21/2019;1354.95;0;154.95
12/22/2019;341.49;0;15.99
12/23/2019;922.89;0;91.96
12/24/2019;2673.49;0;114.94
12/25/2019;381.44;0;31.98
12/26/2019;2241.97;0;158.91
12/27/2019;3082.42;0;194.94
12/28/2019;726.3;0;71.96
12/30/2019;1183.76;0;117.95
12/31/2019;1253.23;0;114.95
