date_revenue;merchandise;wire;delivery
01/01/2019;75;0;0
01/02/2019;144.99;0;14.99
01/05/2019;100.97;0;29.98
01/07/2019;40.98;0;14.99
01/08/2019;124.99;0;7.99
01/09/2019;75;0;0
01/10/2019;161.97;0;22.98
01/11/2019;80;0;7.99
01/14/2019;39.99;0;14.99
01/15/2019;75;0;0
01/16/2019;3425;0;0
01/19/2019;59.99;0;14.99
01/21/2019;228.98;0;22.98
01/22/2019;279.95;0;0
01/23/2019;224.97;0;44.97
01/24/2019;374.9;0;37.93
01/25/2019;105.98;0;44.93
01/29/2019;75;0;0
01/30/2019;75;0;0
01/31/2019;104.98;0;29.98
02/01/2019;159.99;0;45.92
02/02/2019;14253.52;0;1379.99
02/04/2019;315.87;0;47.96
02/05/2019;159.98;0;22.98
02/06/2019;306.01;0;14.99
02/07/2019;126.98;0;14.99
02/08/2019;99.98;0;22.98
02/09/2019;64.98;0;14.99
02/10/2019;784.58;0;142.9
02/11/2019;702.67;0;151.35
02/12/2019;727.93;0;172.8
02/13/2019;3406.9;0;522.91
02/14/2019;1927.71;0;368.25
02/15/2019;114.94;0;23.48
02/16/2019;3350;0;0
02/17/2019;59;0;7.99
02/19/2019;124.99;0;14.99
02/20/2019;75;0;0
02/26/2019;215.93;0;29.98
02/27/2019;224.99;0;14.99
02/28/2019;0;0;14.99
03/01/2019;4099.48;0;530
03/04/2019;68;0;0
03/05/2019;219.98;0;14.99
03/06/2019;65.98;0;14.99
03/08/2019;259.99;0;29.94
03/12/2019;134.98;0;14.99
03/15/2019;293.97;0;46.86
03/17/2019;139.99;0;14.99
03/18/2019;130.96;0;44.97
03/19/2019;75;0;0
03/21/2019;200.97;0;29.98
03/22/2019;135.92;0;44.97
03/23/2019;189.99;0;14.99
03/24/2019;0;0;0
03/25/2019;85;0;14.99
03/26/2019;75;0;0
03/27/2019;39.99;0;14.99
04/01/2019;49.99;0;14.99
04/02/2019;12465.45;0;1475
04/05/2019;149.98;0;14.99
04/07/2019;65.94;0;14.99
04/08/2019;194.95;0;24.99
04/10/2019;25;0;0
04/12/2019;233.65;0;0
04/13/2019;169.97;0;14.99
04/15/2019;49.99;0;14.99
04/16/2019;303.99;0;22.98
04/17/2019;239.99;0;0
04/18/2019;54.98;0;7.99
04/19/2019;249;0;15.98
04/23/2019;89.99;0;7.99
04/24/2019;119.99;0;14.99
04/25/2019;259.96;0;59.96
04/26/2019;74.99;0;22.98
04/28/2019;25;0;0
04/29/2019;30;0;0
05/02/2019;48;0;0
05/03/2019;3807.01;0;212.91
05/05/2019;59.99;0;14.99
05/06/2019;139.94;0;29.98
05/07/2019;265.98;0;44.97
05/08/2019;234.97;0;29.98
05/09/2019;392.9;0;82.94
05/10/2019;301.95;0;44.97
05/11/2019;364.9;0;74.95
05/13/2019;69.99;0;14.99
05/14/2019;179.99;0;29.98
05/16/2019;200;0;0
05/17/2019;54.99;0;14.99
05/18/2019;75.98;0;14.99
05/20/2019;147.98;0;22.98
05/21/2019;50;0;7.99
05/22/2019;359.99;0;29.98
05/24/2019;66.93;0;14.99
05/28/2019;37.99;0;0
05/30/2019;49.99;0;14.99
05/31/2019;11453.08;0;1910
06/01/2019;90.98;0;14.99
06/03/2019;69.99;0;14.99
06/04/2019;145.97;0;22.98
06/06/2019;100;0;14.99
06/07/2019;37.99;0;0
06/10/2019;59.99;0;14.99
06/12/2019;69.99;0;9.99
06/13/2019;59.95;0;14.99
06/16/2019;200;0;0
06/17/2019;89.99;0;0
06/21/2019;19.99;0;0
06/25/2019;149;0;0
06/26/2019;59.99;0;0
06/27/2019;273.92;0;14.99
07/01/2019;2132.45;0;205
07/02/2019;2.4;0;0
07/09/2019;59.99;0;14.99
07/11/2019;49.99;0;14.99
07/12/2019;290;0;0
07/15/2019;50;0;14.99
07/16/2019;256.07;0;0
07/18/2019;103.19;0;14.99
07/19/2019;103.98;0;14.99
07/20/2019;87;0;14.99
07/22/2019;109.98;0;29.98
07/23/2019;54;0;0
07/24/2019;161.94;0;7.99
07/25/2019;184;0;0
07/26/2019;253.99;0;14.99
07/27/2019;163.95;0;0
07/29/2019;95.99;0;14.99
07/30/2019;147.99;0;22.98
07/31/2019;28;0;0
08/02/2019;141.92;0;22.99
08/07/2019;163.95;0;0
08/08/2019;219.95;0;14.99
08/09/2019;209.95;0;14.99
08/16/2019;434.95;0;0
08/21/2019;59.99;0;14.99
08/22/2019;34.99;0;15.99
08/26/2019;109.98;0;95.94
08/27/2019;40;0;0
08/28/2019;5;0;47.97
08/29/2019;67;0;47.97
08/30/2019;1;0;15.99
08/31/2019;1;0;15.99
09/02/2019;80.98;0;15.99
09/04/2019;2;0;31.98
09/05/2019;167.97;0;63.96
09/06/2019;2;0;31.98
09/08/2019;1;0;15.99
09/09/2019;2;0;31.98
09/10/2019;60.99;0;30.98
09/11/2019;1;0;15.99
09/12/2019;39.99;0;7.99
09/13/2019;91;0;31.98
09/14/2019;39.99;0;15.99
09/15/2019;1;0;15.99
09/16/2019;201;0;15.99
09/17/2019;1;0;15.99
09/19/2019;159.94;0;16.99
09/20/2019;1;0;15.99
09/23/2019;222;0;46.97
09/24/2019;2;0;31.98
09/25/2019;441;0;14.99
09/26/2019;80;0;47.97
09/27/2019;99.99;0;15.99
09/30/2019;521;0;23.98
10/02/2019;2;0;31.98
10/03/2019;245.94;0;15.99
10/04/2019;4743.85;0;805.99
