date_revenue;merchandise;wire;delivery
04/09/2019;215.76;0;29.98
06/24/2019;70;0;0
06/25/2019;72;0;0
07/01/2019;100;0;14.28
07/23/2019;450;0;82.4
07/24/2019;0;0;0
07/30/2019;140;0;0
07/31/2019;425;0;14.99
08/01/2019;36;0;0
08/02/2019;99;0;0
08/03/2019;92.99;0;0
08/06/2019;6;0;0
08/07/2019;99.95;0;0
08/08/2019;8;0;0
08/09/2019;22.14;0;0
08/10/2019;30;0;0
08/12/2019;148.94;0;0
08/13/2019;30;0;0
08/15/2019;53.98;0;0
08/16/2019;71.99;0;0
08/17/2019;552.84;0;5
08/18/2019;130;0;93.52
08/19/2019;40.99;0;0
08/20/2019;28;0;0
08/21/2019;22;0;0
08/22/2019;194.99;0;0
08/23/2019;75.97;0;0
08/24/2019;112.96;0;0
08/27/2019;19.99;0;0
08/28/2019;231.98;0;0
08/30/2019;9.99;0;0
08/31/2019;54.99;0;15.99
09/05/2019;5;0;0
09/06/2019;183.46;0;0
09/07/2019;18;0;0
09/11/2019;973.09;0;0
09/12/2019;44.99;0;0
09/14/2019;535.95;0;15.99
09/16/2019;189.99;0;17.45
09/17/2019;23;0;0
09/18/2019;4;0;0
09/19/2019;362;0;0
09/20/2019;72.99;0;0
09/21/2019;1255.96;0;0
09/22/2019;37;0;12.75
09/23/2019;99.98;0;12.44
09/24/2019;308;0;16.82
09/25/2019;31;0;0
09/26/2019;103.98;0;14.99
09/27/2019;170.94;0;0
09/28/2019;426.9;0;0
09/30/2019;12.99;0;0
10/02/2019;377.87;0;0
10/03/2019;274.84;0;0
10/04/2019;120.48;0;0
10/05/2019;61;0;0
10/06/2019;558;0;24.1
10/07/2019;15.06;0;0
10/08/2019;96.98;0;0
10/09/2019;22.99;0;0
10/10/2019;297.18;0;0
10/11/2019;307.13;0;0
10/12/2019;1415.87;0;0
10/14/2019;160;0;12.47
10/16/2019;163;0;15.47
10/17/2019;195;0;0
10/18/2019;85;0;0
10/19/2019;74.99;0;12.47
10/20/2019;11.96;0;0
10/21/2019;107.99;0;16.48
10/22/2019;59.99;0;0
10/23/2019;2447.59;0;0
10/24/2019;5;0;0
10/25/2019;75.48;0;0
10/26/2019;33.95;0;0
10/28/2019;300;0;18.42
10/29/2019;36.99;0;0
10/30/2019;142.94;0;0
10/31/2019;130.99;0;15.99
11/01/2019;826.71;0;14.99
11/02/2019;264;0;15.47
11/05/2019;22;0;0
11/06/2019;197.96;0;0
11/07/2019;91;0;0
11/08/2019;238.99;0;0
11/09/2019;15.98;0;0
11/11/2019;817.87;0;0
11/12/2019;14.99;0;0
11/13/2019;46.99;0;0
11/14/2019;127.96;0;0
11/15/2019;326;0;0
11/18/2019;36.99;0;0
11/19/2019;29.98;0;0
11/20/2019;959.71;0;0
11/21/2019;158;0;0
11/22/2019;607.96;0;22.13
11/23/2019;357.88;0;0
11/25/2019;105.95;0;0
11/26/2019;141.99;0;0
11/27/2019;682.08;0;0
11/29/2019;112.77;0;0
11/30/2019;65;0;0
12/02/2019;317.99;0;18.06
12/03/2019;30;0;0
12/04/2019;185.26;0;0
12/05/2019;686.78;0;0
12/06/2019;81.5;0;0
12/07/2019;44.99;0;0
12/09/2019;19.99;0;0
12/12/2019;175;0;15.99
12/13/2019;199;0;0
12/14/2019;49;0;0
12/15/2019;100;0;14.61
12/16/2019;524.88;0;21.05
12/17/2019;788.94;0;0
12/18/2019;416.96;0;17.48
12/19/2019;540.28;0;16.11
12/20/2019;740;0;0
12/21/2019;190.97;0;0
12/22/2019;25.97;0;0
12/23/2019;62.99;0;0
12/24/2019;201.83;0;0
12/26/2019;302.07;0;0
12/27/2019;59.98;0;0
12/28/2019;309.32;0;0
12/30/2019;2277;0;100
12/31/2019;82;0;0
